# Open English WordNet 2024 (CC BY 4.0), lemma -> synsets in sense order. See THIRD_PARTY.md
aconitum	63418
aconitum_lycoctonum	63421
aconitum_napellus	63420
acoraceae	63690
acorea	75104
acores	48420
acorn	66009
acorn_barnacle	10330
acorn_cup	66011
acorn_squash	65533,42063
acorn_tube	14275
acorus	63689
acorus_calamus	63691
acousma	77041
acoustic	14276,115091
acoustic_absorption	83480
acoustic_aphasia	75501
acoustic_buoy	39364
acoustic_delay_line	14277
acoustic_device	14278
acoustic_gramophone	18862
acoustic_guitar	14279
acoustic_impedance	62537
acoustic_meatus	29010
acoustic_modem	14280
acoustic_nerve	30218
acoustic_phenomenon	62111
acoustic_power	28278
acoustic_projection	62581
acoustic_radiation_pressure	28279
acoustic_reactance	62537
acoustic_resistance	62537
acoustic_spectrum	62572
acoustic_storage	14281
acoustic_wave	39800
acoustic_waveguide	84288
acoustician	52550
acousticophobia	77083
acoustics	33152
acquaintance	31925,74631,52551
acquaintanceship	74631
acquiescence	77231,38862
acquired_hemochromatosis	76040
acquired_immune_deficiency_syndrome	75656
acquired_immunity	77834
acquired_reflex	4399
acquired_taste	40649
acquirement	31014
acquirer	52552,45864,45863,45862
acquiring	88
acquisition	272,70777,31608,31014
acquisition_agreement	35262
acquisitiveness	27446
acquittal	6108
acquittance	35391
acragas	47657
acrasiomycetes	69430
acre	47851,47574,72707
acre-foot	72729
acre_inch	72730
acreage	28413
acres	70734
acridid	11667
acrididae	11666
acridity	31430,27729,26608
acridness	27729,26608
acridotheres	8038
acridotheres_tristis	8039
acrilan	22001
acrimony	25952
acris	8459
acris_crepitans	8461
acris_gryllus	8462
acroanaesthesia	75140
acroanesthesia	75140
acrobat	52553
acrobates	9669
acrobatic_feat	2158
acrobatic_stunt	2158
acrobatics	2134,1447
acrocarp	62724
acrocarpous_moss	62724
acrocarpus	67072
acrocarpus_fraxinifolius	67073
acrocentric_chromosome	30035
acrocephalus	7963
acrocephalus_schoenobaenus	7964
acrocephaly	75819
acroclinium	64330
acroclinium_roseum	64331
acrocomia	67496
acrocomia_aculeata	67498
acrocomia_vinifera	67497
acrocyanosis	76603
acrodont	6779
acrogen	62710
acrolein	80451
acromegalia	76993
acromegaly	76993
acromial_process	29183
acromicria	75105
acromikria	75105
acromion	29183
acromphalus	75106
acromyotonia	77925
acronym	38423
acrophobia	77068
acrophony	39164
acropolis	14282
acropora	9877
acrosome	30111
acrostic	36645,34418
acrostichum	70525
acrostichum_aureum	70526
acrylamide	78793
acrylate	80452
acrylate_resin	78197
acrylic	80271,78197,14284,14283
acrylic_acid	80453
acrylic_fiber	80271
acrylic_paint	14284
acrylic_resin	78197
acrylonitrile	80454
acrylonitrile-butadiene-styrene	78189
act	35286,43,37993,37215,38018,96763,84997,93510,90245,85012,98555,97495,93518,93511
act_of_god	39630
act_of_terrorism	3884
actaea	63422
actaea_alba	63426
actaea_rubra	63425
acth	29861
actias	12108
actias_luna	12109
actifed	14285
actin	78897
actinaria	9858
acting	2731,108406
acting_out	38021,37192
actinia	9861,9860
actinian	9860
actiniaria	9858
actiniarian	9860
actinic_dermatitis	76135
actinic_keratosis	76169
actinic_radiation	62089
actinic_ray	62089
actinide	78151
actinide_series	78368
actinidia	66512
actinidia_arguta	66513
actinidia_chinensis	66514
actinidia_deliciosa	66514
actinidia_polygama	66515
actinidiaceae	66511
actiniopteris	70527
actinism	27301
actinium	78375
actinoid	78151,111930
actinolite	78870
actinomeris	64900
actinomeris_alternifolia	64902
actinometer	14286
actinometry	5083
actinomyces	7015
actinomycetaceae	7013
actinomycetales	7011
actinomycete	7012
actinomycin	14287
actinomycosis	76314
actinomyxidia	7297
actinomyxidian	7298
actinon	78151
actinopod	7088
actinopoda	7087
actinotherapy	3595
actinozoa	9856
actinozoan	9857
action	67,75027,4874,72249,34459,26881,14288,6056,6057,2880,84342,97755,93113
action_at_law	6056
action_mechanism	14288
action_officer	52555
action_painting	14236
action_plant	63577
action_potential	39598
action_replay	5206
action_spectrum	62090
actitis	10485
actitis_hypoleucos	10486
actitis_macularia	10487
actium	47543,6520
activase	24778
activated_carbon	79277
activated_charcoal	79277
activating	5358,100578
activating_agent	78861
activation	71779,5358,1107
activation_energy	62091
activator	78860
active	79158,73925,52556,98973,107880,98981,107094,98941,99001,98960,103868,99007,98999,98997,98995,98989,98955
active_agent	79158
active_air_defense	4896
active_application	35469
active_birth	71780
active_capital	83817
active_citizen	52557
active_electrolocation	83546
active_immunity	77831
active_matrix_screen	14289
active_placebo	14290
active_power	84889
active_site	46804
active_subwoofer	84201
active_transport	71781
active_trust	71402
active_voice	73925
activeness	75027,25911
activewear	23851
activism	32333
activist	55848,98982
activity	2007,75027,71859,77850,72249,25911
actomyosin	78888
actor	52558,52559
actor's_agent	52560
actor's_assistant	54111
actor's_line	38000
actress	52561
acts	34828
acts_of_the_apostles	34828
actual_damages	70998
actual_eviction	6114
actual_possession	4120
actual_sin	3872
actualisation	4766
actuality	74755
actualization	4766
actuarial_table	45078
actuary	57786
actuation	101
actuator	14291
actus_reus	3742
acuity	31114,30919
acular	19827
aculea	9782
aculeus	69972,9783
acumen	69973,30924
acuminate_leaf	70275
acupressure	3621
acupuncture	3620
acute	36842,99013,103216,108345,108726,108712,102405
acute-angled_triangle	74349
acute_accent	36842
acute_angle	74422
acute_anterior_poliomyelitis	75711
acute_brain_disorder	75272
acute_gastritis	76843
acute_glaucoma	76321
acute_glossitis	76846
acute_hemorrhagic_encephalitis	76820
acute_inclusion_body_encephalitis	76822
acute_kidney_failure	75596
acute_leukemia	76252
acute_lymphoblastic_leukemia	76253
acute_lymphocytic_leukemia	76253
acute_myelocytic_leukemia	76254
acute_myeloid_leukemia	76254
acute_organic_brain_syndrome	75272
acute_pyelonephritis	78045
acute_renal_failure	75596
acute_schizophrenic_episode	77165
acute_triangle	74349
acuteness	31102,30919,26261
acyclovir	14292
acyl	78203
acyl_anhydrides	79345
acyl_group	78203
acyl_halide	79346
acylation	71782
acylglycerol	79784
ad	39265,117009
ad-dahna_desert	49349
ad-lib	36292,93556,108916,111009
ad_agency	45512
ad_blitz	4060
ad_campaign	4060
ad_valorem_tax	71152
ada	78771
ada-scid	75662
adactylia	75770
adactylism	75770
adactyly	75770
adad	51134
adage	38760
adagio	38207,2598,104163,118831
adalia	48676,11310
adalia_bipunctata	11311
adam	51558,58729,14293
adam's_apple	63673,30458
adam's_needle	67039
adam's_needle-and-thread	67039
adam's_peak	49439
adam-and-eve	64959
adam_smith	61429
adamance	27024
adamant	79491,104393
adams	58732,58731,58730,49438
adams-stokes_syndrome	76959
adana	48674
adansonia	65666
adansonia_digitata	65668
adansonia_gregorii	65667
adapa	51135
adapid	13254
adapid_group	13254
adapin	17570
adaptability	26027
adaptation	34655,71783,884
adapter	52791,14294
adaption	71783
adaptive_radiation	40309
adaptor	14294
adar	81670
adar_sheni	81671
add	75279,85797,89883,96520,88113,89518,98556
add-in	16413
add-on	35452,14297,14251
addax	12816
addax_nasomaculatus	12816
addend	73487
addendum	34602
adder	52562,14295,9004
adder's_fern	70364
adder's_tongue	69345
adder's_tongue_fern	69345
addict	52564,52563,90615
addiction	75315,40580,323
addiction_studies	83996
adding_machine	14296
addis_ababa	47510
addison's_disease	75608
addison's_syndrome	75608
addition	14297,1781,73647,70778,46438,4437
addition_reaction	71784
additions_to_esther	34887
additive	14298,106509,99035
additive_inverse	74146
addle-head	57490
addlehead	57490
address	34372,46180,39211,38321,36683,36650,28181,26913,89274,89702,89710,90550,90592,97856,96145,89914,89709,87212
addressee	52565
addressing_machine	14299
addressograph	14299
adducer	52566
adducing	35920
adduct	78150,92138
adduction	1618
adductor	29240
adductor_muscle	29240
ade	43461
adelaide	47762
adelges	11831
adelges_abietis	11834
adelges_piceae	11833
adelgid	11832
adelgidae	11830
adelie	10667
adelie_coast	46200
adelie_land	46200
adelie_penguin	10667
adeline_virginia_stephen_woolf	61963
aden	49309
aden-abyan_islamic_army	43940
adenanthera	63592
adenanthera_pavonina	63593
adenauer	58733
adenine	78769
adenitis	76334
adenium	63638
adenium_multiflorum	63639
adenium_obesum	63639
adenocarcinoma	76269
adenohypophysis	30240
adenoid	30455,113257
adenoidectomy	3382
adenoma	76211
adenomatous_polyp	76205
adenomegaly	76983
adenomyosarcoma	76267
adenomyosis	76031
adenopathy	75609
adenosine	78770
adenosine_deaminase	78771
adenosine_diphosphate	78773
adenosine_monophosphate	78772
adenosine_triphosphate	78774
adenosis	75300
adenota	12858
adenota_vardoni	12859
adenovirus	6803
adenylic_acid	78772
adept	52546,111084
adeptness	31042
adequacy	26667,28338
adequateness	26667
ader_wax	78524
adermin	80997
adesite	80071
adh	29887
adhd	75279
adherence	6204,27392
adherent	54026,99058
adhesion	76033,30732,27392,6204
adhesion_contract	35228
adhesive	78743,99057
adhesive_agent	78743
adhesive_bandage	14300
adhesive_friction	62297
adhesive_material	78743
adhesive_plaster	21876
adhesive_tape	14301
adhesiveness	27392
adhocracy	43891
adi_granth	34778
adiabatic_index	83862
adiabatic_process	71785
adiabaticity	83424
adiantaceae	70392
adiantum	70528
adiantum_bellum	70532
adiantum_capillus-veneris	70530
adiantum_pedatum	70531
adiantum_tenerum	70533
adiantum_tenerum_farleyense	70534
adiaphoron	83826,83825
adience	49400
adieu	35815
adige	49440
adios	35815
adipic_acid	78299
adipose_cell	30105
adipose_tissue	29128
adipose_tumor	76232
adiposeness	27756
adiposis	27760
adiposity	27756
adirondack_mountains	49441
adirondacks	49441
adit	14302
aditi	51188
aditya	51189
adjacency	28198
adjara	48578
adjective	34188,34174,115518,99075
adjective_pronoun	84735
adjoining_room	14303
adjournment	996,5464
adjudication	4449
adjudicator	52567
adjunct	49443,52568,34142,111822,103154
adjunction	643
adjuration	38923
adjustable_spanner	14304
adjustable_wrench	14304
adjuster	52569
adjusting_entry	71667
adjustment	39922,914,5094,71783,70898
adjustor	52569
adjutant	52570,10350
adjutant_bird	10350
adjutant_general	52571
adjutant_stork	10350
adjuvant	14305,111822,105322
adlai_ewing_stevenson	61505
adlai_stevenson	61505
adlai_stevenson_ii	61505
adlerian_psychology	84131
adlumia	64314
adlumia_fungosa	64315
adman	52589
admass	44635
administered_price	83809
administration	5818,44562,3545,81962,5762,3544
administrative_body	44175
administrative_data_processing	71786
administrative_district	46185
administrative_division	46185
administrative_hearing	6136
administrative_law	45985
administrative_official	53222
administrative_unit	44175
administrator	52574,52573,52572
administrivia	5823
admirability	26360
admirableness	26360
admiral	52575,11956
admiral_byrd	59101
admiral_dewey	59399
admiral_nelson	60870
admiral_nimitz	60896
admiralty	45489,2937
admiralty_brass	80241
admiralty_island	48735
admiralty_islands	47803
admiralty_law	45990
admiralty_metal	80241
admiralty_mile	72984
admiralty_mountains	49442
admiralty_range	49442
admiration	40663,40717,6232
admirer	57940,52577,52576
admissibility	26669
admission	6400,39081,71183,28652
admission_charge	71183
admission_day	81358
admission_fee	71183
admission_price	71183
admittance	28652,6400
admixture	77620,14306,1862
admonisher	52578
admonishment	36290
admonition	36044,36290
adnexa	28874
adnoun	34184
ado	2768
adobe	78240,14307
adobe_brick	14307
adobe_house	23658
adobe_lily	66898
adobo	41099
adolescence	81293,77302
adolescent	52579,113248,107796,106961,106948
adolf_eichmann	59506
adolf_hitler	60031
adolf_loos	60491
adolf_otto_reinhold_windaus	61940
