# Open English WordNet 2024 (CC BY 4.0): antonym lemma pairs. See THIRD_PARTY.md
a_la_carte	prix_fixe
cautiousness	incaution
ceilinged	floored
celebrity	infamy
cenobite	eremite
cenobitic	eremitic
cenogenetic	palingenetic
censored	uncensored
center	left
center	right
central	peripheral
centralisation	decentralisation
centralise	deconcentrate
centralised	decentralised
centralising	decentralising
centrality	marginality
centralize	decentralize
centralize	deconcentrate
centrally	peripherally
centrifugal	centripetal
centrifugal_force	centripetal_force
cerebral	emotional
ceremonially	unceremoniously
ceremoniousness	unceremoniousness
certain	uncertain
certain	unsure
certainty	dubiousness
certainty	precariousness
certified	uncertified
chain	unchain
change	rest
changeability	changelessness
changeable	changeless
changeable	unchangeable
changed	unchanged
changefulness	constancy
characteristic	uncharacteristic
characteristically	uncharacteristically
charge	discharge
charge	pay_cash
charged	uncharged
chariness	unwariness
charitable	uncharitable
chartered	unchartered
chaste	unchaste
cheap	expensive
cheaply	expensively
check_in	check_out
cheer	complain
cheer	uncheerfulness
cheerful	cheerless
cheerfully	cheerlessly
child	parent
chill	heat
chop-chop	easy
christian	unchristian
chromatic	diatonic
circular	square
circumstantial_evidence	direct_evidence
cisc	risc
cismontane	tramontane
citizen	noncitizen
civil	rude
civil	sidereal
civil_law	international_law
civilian	military
civilian	military_man
civilised	noncivilised
civility	incivility
civilly	uncivilly
clad	unclothed
claim	disclaim
clarify	obfuscate
clasp	unclasp
classic	nonclassical
classicalism	romantic_movement
classicist	romantic
classification	declassification
classified	unclassified
classify	declassify
clean	contaminating
clean	dirty
clean	grime
clean	impure
clean-handed	guilty
cleanliness	uncleanliness
cleanness	dirtiness
clear	cloudy
clear	clutter
clear	ill-defined
clear	opaque
clear	unclear
clear-thinking	confused
cleared	uncleared
clearly	unintelligibly
clearness	opacity
clement	inclement
clergy	laity
clergyman	layman
clip	unclip
clock_in	punch_out
clock_off	clock_on
clockwise	contraclockwise
clockwise_rotation	counterclockwise_rotation
close	distant
close	far
close	open
close_up	open
closed	open
closed_chain	open_chain
closed_circuit	open_circuit
closeness	nakedness
closeness	remoteness
closing	opening
clot	homogenise
clot	homogenize
cloud	light_up
coarse	fine
coarsely	finely
coastal	inland
coated	uncoated
coding_dna	intron
cognizance	incognizance
cognoscible	unknowable
coherence	incoherence
coherent	incoherent
coherently	incoherently
coil	uncoil
coiled	straight
cold	high_temperature
cold	hot
cold-blooded	warm-blooded
cold_war	hot_war
coldhearted	warmhearted
collapsable	noncollapsable
collateral	direct
collect	distribute
collected	uncollected
collective	distributive
colonise	decolonise
colonize	decolonize
color	discolor
colored	uncolored
colorful	colorless
colourful	colourless
columned	noncolumned
combed	uncombed
combinative	noncombinative
combined	uncombined
combustible	incombustible
come	go_away
come_alive	drop_off
come_before	follow
come_in	exit
come_in	go_out
come_on	go_off
come_up	go_down
comedy	tragedy
comfort	discomfort
comfortable	uncomfortable
comfortably	uncomfortably
commencement	finish
commensurate	incommensurate
commercial	noncommercial
commissioned	noncommissioned
committed	uncommitted
commodious	incommodious
common	single
common	uncommon
common_noun	proper_name
commonality	individualism
commonly	remarkably
commonness	uncommonness
communicate	unchurch
communicative	incommunicative
communicativeness	uncommunicativeness
communisation	denationalisation
commutable	incommutable
compact	decompress
compact	loose
compaction	rarefaction
comparable	incomparable
comparably	incomparably
compartmented	uncompartmented
compassionate	uncompassionate
compatibility	incompatibility
compatible	incompatible
compatibly	incompatibly
competence	incompetence
competent	incompetent
competition	cooperation
competitive	noncompetitive
competitively	noncompetitively
complainant	defendant
complaining	uncomplaining
complainingly	uncomplainingly
complete	incomplete
completeness	incompleteness
complex	simple
complex_instruction_set_computer	reduced_instruction_set_computer
complex_instruction_set_computing	reduced_instruction_set_computing
complexity	simpleness
compliant	defiant
complicate	simplify
complimentary	uncomplimentary
composed	discomposed
compound	simple
comprehendible	incomprehensible
